pgChr	pgOrd	pgID	OutgroupAlnPercMean	BahahaTaipingensisF0	BahahaTaipingensisF1	BahahaTaipingensisM0	BahahaTaipingensisM1
1	117	107	0.82812738908106	1	1	1	0.5
1	118	108	0.91620545969888	1	1	1	1
1	125	113	0.94673654729864	1	1	1	1
1	126	114	0.81830866481653	1	1	1	1
1	127	115	0.75543917680019	1	1	1	1
1	128	116	0.92523863113872	1	1	1	1
1	129	117	0.84302040348419	1	1	1	1
1	132	120	0.8549451441532	1	1	1	1
1	137	125	0.81044216421859	1	1	1	1
1	138	126	0.84696077278345	1	1	1	1
1	139	127	0.83793241621661	1	1	1	1
1	142	130	0.82147537552242	1	1	1	1
1	143	131	0.8920067827881	1	1	1	1
1	145	133	0.70713139046978	1	1	1	1
1	147	134	0.56350621678945	1	1	1	1
1	148	135	0.90236645563435	1	1	1	1
1	149	136	0.87950877819686	1	1	1	1
1	150	137	0.95060474020288	1	1	1	1
1	151	138	0.96335139167813	1	1	1	1
1	152	139	0.66172184811058	1	1	1	1
1	153	140	0.89474773159335	1	1	1	1
1	154	141	0.75220804131112	1	1	1	1
1	156	143	0.89510815044859	1	1	1	1
1	157	144	0.6559439601865	1	1	1	1
1	158	145	0.93247576435496	1	1	1	1
1	159	146	0.82840122016632	1	1	1	1
1	160	147	0.6204094158187	1	1	1	1
1	161	148	0.86322013508695	1	1	1	1
1	162	149	0.82002461281569	1	1	1	1
1	163	150	0.79645075009929	1	1	1	1
1	164	151	0.91387747003482	1	1	1	1
1	166	153	0.73976912288931	1	1	1	1
1	167	154	0.90006803709309	1	1	1	1
1	168	155	0.8777160302716	1	1	1	1
1	169	156	0.87216647519909	1	1	1	1
1	170	157	0.75564566629725	1	1	1	1
1	171	158	0.96808510638298	1	1	1	1
1	172	159	0.97275952203137	1	1	1	1
1	173	160	0.95973646840647	1	1	1	1
1	174	161	0.93274751110208	1	1	1	1
1	175	162	0.92333709277012	1	1	1	1
1	176	163	0.24540331992053	1	1	1	1
1	177	164	0.8775629088968	1	1	1	1
1	178	165	0.94145238095238	1	1	1	1
1	179	166	0.93873079015368	1	1	1	1
1	180	167	0.82968253968254	1	1	1	1
1	181	168	0.85150197454947	1	1	1	1
1	182	169	0.88007822120682	1	1	1	1
1	183	170	0.93541398217347	1	1	1	1
1	184	171	0.92262187053026	1	1	1	1
1	187	174	0.83814906060843	1	1	1	1
1	188	175	0.88477444423713	1	1	1	1
1	189	176	0.92409977486873	1	1	1	1
1	190	177	0.80572423232382	1	1	1	1
1	191	178	0.90867631747958	1	1	1	1
1	192	179	0.826755653839	1	1	1	1
1	193	180	0.84707235396687	1	1	1	1
1	194	181	0.63433761800174	1	1	1	1
1	195	182	0.91522866725908	1	1	1	1
1	196	183	0.85194681549111	1	1	1	1
1	197	184	0.78203408673766	1	1	1	1
1	198	185	0.91212324092857	1	1	1	1
1	199	186	0.8373597328544	1	1	1	1
1	200	187	0.88070506283292	1	1	1	1
1	201	188	0.97683615819209	1	1	1	1
1	202	189	0.77986417526762	1	1	1	1
1	203	190	0.87620753346377	1	1	1	1
1	204	191	0.87415731540623	1	1	1	1
1	205	192	0.82773099340338	1	1	1	1
1	206	193	0.91213669349588	1	1	1	1
1	207	194	0.85305324674358	1	1	1	1
1	208	195	0.92050749508243	1	1	1	1
1	209	196	0.87933958484906	1	1	1	1
1	210	197	0.98172534377839	1	1	1	1
1	211	198	0.74563220865982	1	1	1	1
1	213	200	0.9138975149462	1	1	1	1
1	214	201	0.71965965983534	1	1	1	1
1	215	202	0.92077384762331	1	1	1	1
1	216	203	0.66308136698054	1	1	1	1
1	217	204	0.72240270033143	1	1	1	1
1	218	205	0.95305866339817	1	1	1	1
1	219	206	0.90869755998665	1	1	1	1
1	222	209	0.83039912497615	1	1	1	1
1	226	213	0.69367983081007	1	1	1	1
1	227	214	0.88916716097643	1	1	1	1
1	228	215	0.88179178577744	1	1	1	1
1	229	216	0.8533557193646	1	1	1	1
1	230	217	0.92510097137014	1	1	1	1
1	231	218	0.70077758283462	1	1	1	1
1	232	219	0.97649572649573	1	1	1	1
1	234	221	0.94039598391724	1	1	1	1
1	235	222	0.98805592012903	1	1	1	1
1	236	223	0.94731489987258	1	1	1	1
1	237	224	0.87426380978552	1	1	1	1
1	238	225	0.80531417068763	1	1	1	1
1	240	226	0.84077898248328	1	1	1	1
1	241	227	0.86672390813719	1	1	1	1
1	243	229	0.93357185450209	1	1	1	1
1	244	230	0.95546538874754	1	1	1	1
1	245	231	0.88905027094578	1	1	1	1
1	246	232	0.97428214542289	1	1	1	1
1	247	233	0.99628097138072	1	1	1	1
1	248	234	0.96985306331586	1	1	1	1
1	249	235	0.76928092783316	1	1	1	1
1	250	236	0.97950277378262	1	1	1	1
1	253	239	0.73963074188837	1	1	1	1
1	255	240	0.58400674176478	1	1	1	1
1	256	241	0.97338506548865	1	1	1	1
1	257	242	0.95645350087193	1	1	1	1
1	259	244	0.80047241143294	1	1	1	1
1	260	245	0.94813058159051	1	1	1	1
1	261	246	0.96888509150299	1	1	1	1
1	262	247	0.7498222825992	1	1	1	1
1	264	249	0.89693084755382	1	1	1	1
1	265	250	0.90133710227906	1	1	1	1
1	266	251	0.94863916183312	1	1	1	1
1	267	252	0.75488016825695	1	1	1	1
1	268	253	0.65806538536702	1	1	1	1
1	269	254	0.90304328826008	1	1	1	1
1	270	255	0.86960051288999	1	1	1	1
1	272	257	0.86570075870558	1	1	1	1
1	274	259	0.95610364631288	1	1	1	1
1	275	260	0.68289825037483	1	1	1	1
1	276	261	0.831201494124	1	1	1	1
1	278	263	0.89938607694808	1	1	1	1
1	280	265	0.78313216753659	1	1	1	1
1	281	266	0.93262542278179	1	1	1	1
1	282	267	0.92560684800983	1	1	1	1
1	283	268	0.87806035393341	1	1	1	1
1	284	269	0.8857480289897	1	1	1	1
1	285	270	0.84424599394818	1	1	1	1
1	286	271	0.86951109075774	1	1	1	1
1	287	272	0.89452456664859	1	1	1	1
1	288	273	0.89920241696195	1	1	1	1
1	289	274	0.98451816745656	1	1	1	1
1	290	275	0.97722376472001	1	1	1	1
1	291	276	0.89164011505771	1	1	1	1
1	292	277	0.84030376761404	1	1	1	1
1	293	278	0.93623921001639	1	1	1	1
1	297	282	0.74763169424023	1	1	1	1
1	305	290	0.65807916335167	1	1	1	1
1	306	291	0.88773379291229	1	1	1	1
1	308	293	0.77641303343574	1	1	1	1
1	309	294	0.8607769817651	1	1	1	1
1	311	296	0.96617094750033	1	1	1	1
1	312	297	0.81462990354562	1	1	1	1
1	313	298	0.76678529748205	1	1	1	1
1	314	299	0.88434312758851	1	1	1	1
1	315	300	0.95417204264944	1	1	1	1
1	316	301	0.84363692141313	1	1	1	1
1	317	302	0.66533731184962	1	1	1	1
1	318	303	0.67271431688182	1	1	1	1
1	319	304	0.91496619546666	1	1	1	1
1	320	305	0.8689321963668	1	1	1	1
1	321	306	0.96302919315475	1	1	1	1
1	322	307	0.96803775203775	1	1	1	1
1	323	308	0.83738554483202	1	1	1	1
1	324	309	0.65469400581196	1	1	1	1
1	325	310	0.77693403761136	1	1	1	1
1	326	311	0.82766175647676	1	1	1	1
1	327	312	0.69259512076987	1	1	1	1
1	328	313	0.7335863850492	1	1	1	1
1	329	314	0.77494634832851	1	1	1	1
1	330	315	0.77005742168989	1	1	1	1
1	331	316	0.78475626555623	1	1	1	1
1	332	317	0.9272447668512	1	1	1	1
1	333	318	0.70089142189788	1	1	1	1
1	334	319	0.82403086814008	1	1	1	1
1	336	321	0.96666666666667	1	1	1	1
1	337	322	0.6957998778052	1	1	1	1
1	338	323	0.72731468885172	1	1	1	1
1	339	324	0.87868484499483	1	1	1	1
1	340	325	0.31638170266656	1	1	1	1
1	341	326	0.96177430057865	1	1	1	1
1	342	327	0.73837087558686	1	1	1	1
1	343	328	0.89019614566992	1	1	1	1
1	344	329	0.99491525423729	1	1	1	1
1	345	330	0.97124561155055	1	1	1	1
1	346	331	0.47186354873368	1	1	1	1
1	348	333	0.92511142205638	1	1	1	1
1	350	335	0.92060998369822	1	1	1	1
1	351	336	0.89325775305294	1	1	1	1
1	352	337	0.9621187635234	1	1	1	1
1	353	338	0.85561812563016	1	1	1	1
1	354	339	0.9364058429164	1	1	1	1
1	355	340	0.81889931812653	1	1	1	1
1	356	341	0.77052513335543	1	1	1	1
1	357	342	0.67973500399966	1	1	1	1
1	358	343	0.80178674464637	1	1	1	1
1	360	345	0.90721477948446	1	1	1	1
1	363	348	0.86197129417667	1	1	1	1
1	364	349	0.92631921279794	1	1	1	1
1	367	352	0.89514732262345	1	1	1	1
1	368	353	0.85704467952792	1	1	1	1
1	369	354	0.92673159077764	1	1	1	1
1	370	355	0.86026396927571	1	1	1	1
1	371	356	0.97714880366517	1	1	1	1
1	372	357	0.74128456728179	1	1	1	1
1	373	358	0.89432443488369	1	1	1	1
1	374	359	0.89484252311542	1	1	1	1
1	375	360	0.96105172751901	1	1	1	1
1	376	361	0.81016352706687	1	1	1	1
1	377	362	0.87890264243112	1	1	1	1
1	378	363	0.78253608132545	1	1	1	1
1	379	364	0.94247316877343	1	1	1	1
1	383	368	0.91483964539611	1	1	1	1
1	384	369	0.83456086536916	1	1	1	1
1	385	370	0.83142709722662	1	1	1	1
1	386	371	0.95586197571492	1	1	1	1
1	387	372	0.91762626262626	1	1	1	1
1	388	373	0.7746594670002	1	1	1	1
1	389	374	0.92228392682503	1	1	1	1
1	390	375	0.69170935147146	1	1	1	1
1	391	376	0.82808912609374	1	1	1	1
1	392	377	0.89913043478261	1	1	1	1
1	393	378	0.84533598585323	1	1	1	1
1	394	379	0.92702330170005	1	1	1	1
1	397	382	0.93593260512076	1	1	1	1
1	399	384	0.84781234041536	1	1	1	1
1	401	386	0.93126226778488	1	1	1	1
1	402	387	0.9435381509646	1	1	1	1
1	403	388	0.83286682817897	1	1	1	1
1	404	389	0.83467709903928	1	1	1	1
1	405	390	0.92704178604205	1	1	1	1
1	406	391	0.88161419254535	1	1	1	1
1	407	392	0.88819147678227	1	1	1	1
1	408	393	0.84707216481981	1	1	1	1
1	409	394	0.9774883305416	1	1	1	1
1	411	396	0.84240537877746	1	1	1	1
1	413	398	0.93662383632245	1	1	1	1
1	414	399	0.79893464904048	1	1	1	1
1	415	400	0.89465059552622	1	1	1	1
1	416	401	0.90013286790257	1	1	1	1
1	418	403	0.96347670696589	1	1	1	1
1	419	404	0.63163663186918	1	1	1	1
1	420	405	0.91882633741665	1	1	1	1
1	421	406	0.71544391759903	1	1	1	1
1	424	409	0.83870130272062	1	1	1	1
1	425	410	0.86437062746319	1	1	1	1
1	426	411	0.81683212256566	1	1	1	1
1	427	412	0.84680739801788	1	1	1	1
1	428	413	0.92902641360609	1	1	1	1
1	429	414	0.65365074322815	1	1	1	1
1	430	415	0.96573894589298	1	1	1	1
1	431	416	0.90911889342175	1	1	1	1
1	432	417	0.87449947270949	1	1	1	1
1	433	418	0.93138660607993	1	1	1	1
1	434	419	0.8755167035713	1	1	1	1
1	435	420	0.91343890656093	1	1	1	1
1	436	421	0.45884893977332	1	1	1	1
1	437	422	0.83894389230686	1	1	1	1
1	438	423	0.84273375652476	1	1	1	1
1	439	424	0.90631433820467	1	1	1	1
1	440	425	0.81506698829604	1	1	1	1
1	441	426	0.60527230355631	1	1	1	1
1	442	427	0.70873831065636	1	1	1	1
1	443	428	0.92084914135961	1	1	1	1
1	444	429	0.87604277120627	1	1	1	1
1	445	430	0.78617609811863	1	1	1	1
1	446	431	0.90342212503354	1	1	1	1
1	447	432	0.86727079741748	1	1	1	1
1	448	433	0.9825615988964	1	1	1	1
1	449	434	0.99875097580016	1	1	1	1
1	450	435	0.98438818565401	1	1	1	1
1	451	436	0.85378034830076	1	1	1	1
1	452	437	0.98748043818466	1	1	1	1
1	453	438	0.74399599954413	1	1	1	1
1	454	439	1	1	1	1	1
1	455	440	0.8364726888539	1	1	1	1
1	456	441	0.74613845335468	1	1	1	1
1	457	442	0.93138806243147	1	1	1	1
1	458	443	0.92251011712997	1	1	1	1
1	460	445	0.63328330498684	1	1	1	1
1	461	446	0.90055816828521	1	1	1	1
1	462	447	0.57343489155228	1	1	1	1
1	463	448	0.83577429323975	1	1	1	1
1	464	449	0.96245019515174	1	1	1	1
1	465	450	0.93970923103871	1	1	1	1
1	466	451	0.8546126680768	1	1	1	1
1	467	452	0.90002053004853	1	1	1	1
1	468	453	0.72396098694076	1	1	1	1
1	469	454	0.82792908969619	1	1	1	1
1	470	455	0.89986763475179	1	1	1	1
1	471	456	0.90498989282461	1	1	1	1
1	472	457	0.66296304874986	1	1	1	1
1	474	459	0.85855785367153	1	1	1	1
1	475	460	0.84631996986822	1	1	1	1
1	476	461	0.72255305486387	1	1	1	1
1	477	462	0.77259266383645	1	1	1	1
1	478	463	0.86005493864955	1	1	1	1
1	479	464	0.92894496518248	1	1	1	1
1	480	465	0.8820892410342	1	1	1	1
1	481	466	0.88028679379043	1	1	1	1
1	483	468	0.90549530392321	1	1	1	1
1	485	470	0.76753090695348	1	1	1	1
1	486	471	0.95967062187287	1	1	1	1
1	489	474	0.66610897040147	1	1	1	1
1	491	476	0.92048417081997	1	1	1	1
1	492	477	0.88698346424402	1	1	1	1
1	493	478	0.77192294007324	1	1	1	1
1	494	479	0.60493466029967	1	1	1	1
1	495	480	0.59275774467128	1	1	1	1
1	499	482	0.60816242027077	1	1	1	1
1	500	483	0.76225070072718	1	1	1	1
1	501	484	0.96973684210526	1	1	1	1
1	502	485	0.98	1	1	1	1
1	503	486	0.55805893897617	1	1	1	1
1	504	487	0.92483619109465	1	1	1	1
1	505	488	0.88841381126362	1	1	1	1
1	506	489	0.82419731571033	1	1	1	1
1	507	490	0.93804167287726	1	1	1	1
1	508	491	0.92686119239767	1	1	1	1
1	509	492	0.83243889764947	1	1	1	1
1	512	495	0.76762190214766	1	1	1	1
1	513	496	0.90937337086852	1	1	1	1
1	514	497	0.9356849418195	1	1	1	1
1	515	498	0.9363125676757	1	1	1	1
1	516	499	0.8426792164737	1	1	1	1
1	517	500	0.80464461937623	1	1	1	1
1	518	501	0.97279765769914	1	1	1	1
1	519	502	0.29613360595509	1	1	1	1
1	520	503	0.91379332202027	1	1	1	1
1	521	504	0.92851907975663	1	1	1	1
1	522	505	0.8443789353164	1	1	1	1
1	524	507	0.80572811310694	1	1	1	1
1	525	508	0.98903238655514	1	1	1	1
1	526	509	0.59468272961727	1	1	1	1
1	527	510	0.9200515983861	1	1	1	1
1	528	511	0.71316060871315	1	1	1	1
1	529	512	0.91733389146535	1	1	1	1
1	533	516	0.79903653095216	1	1	1	1
1	534	517	0.83227270882725	1	1	1	1
1	535	518	0.93358038048927	1	1	1	1
1	537	520	0.9039499064765	1	1	1	1
1	538	521	0.95700483091787	1	1	1	1
1	539	522	0.87252299285641	1	1	1	1
1	540	523	0.83648934737214	1	1	1	1
1	543	526	0.82677419354839	1	1	1	1
1	545	527	0.80196015597892	1	1	1	1
1	546	528	0.78247461344901	1	1	1	1
1	547	529	0.89190979747168	1	1	1	1
1	548	530	0.8479733490672	1	1	1	1
1	549	531	0.85134269740628	1	1	1	1
1	550	532	0.84583003816129	1	1	1	1
1	551	533	0.9428215049977	1	1	1	1
1	552	534	0.96301945181256	1	1	1	1
1	553	535	0.85975358694473	1	1	1	1
1	555	537	0.93051432107955	1	1	1	1
1	558	540	0.83930629441235	1	1	1	1
1	560	542	0.86980371781191	1	1	1	1
1	562	544	0.9648603068952	1	1	1	1
1	563	545	0.86949454460491	1	1	1	1
1	565	547	0.90338898864935	1	1	1	1
1	567	549	0.85758671026955	1	1	1	1
1	568	550	0.95395767651167	1	1	1	1
1	569	551	0.63199593235775	1	1	1	1
1	571	553	0.88068944169863	1	1	1	1
1	572	554	0.81811725496664	1	1	1	1
1	573	555	0.65081485190771	1	1	1	1
1	574	556	0.76653702445014	1	1	1	1
1	576	558	0.90278428533196	1	1	1	1
1	582	560	0.78575101155006	1	1	1	1
1	583	561	0.80781585503457	1	1	1	1
1	585	563	0.83024053683251	1	1	1	1
1	586	564	0.90900171041066	1	1	1	1
1	587	565	0.89157515749475	1	1	1	1
1	588	566	0.87666044423308	1	1	1	1
1	589	567	0.97922279290629	1	1	1	1
1	592	570	0.89355380529082	1	1	1	1
1	594	572	0.90821680944697	1	1	1	1
1	596	574	0.79703673209503	1	1	1	1
1	597	575	0.95358302972105	1	1	1	1
1	598	576	0.9438374786321	1	1	1	1
1	599	577	0.92846083458362	1	1	1	1
1	600	578	0.96208959579818	1	1	1	1
1	604	582	0.87131238803109	1	1	1	1
1	608	586	0.88723292431456	1	1	1	1
1	614	592	0.9282036892836	1	1	1	1
1	616	594	0.80668800934331	1	1	1	1
1	617	595	0.82125671831225	1	1	1	1
1	618	596	0.82860907379949	1	1	1	1
1	619	597	0.68420129198971	1	1	1	1
1	620	598	0.80383458410933	1	1	1	1
1	624	602	0.93283351971086	1	1	1	1
1	626	604	0.96065275577401	1	1	1	1
1	627	605	0.74822173109083	1	1	1	1
1	629	607	0.85545879766652	1	1	1	1
1	631	609	0.85474048518679	1	1	1	1
1	632	610	0.83942881342794	1	1	1	1
1	633	611	0.86692619516216	1	1	1	1
1	634	612	0.87044421370305	1	1	1	1
1	636	614	0.84894548674288	1	1	1	1
1	638	615	0.9047454477309	1	1	1	1
1	639	616	0.89839492524739	1	1	1	1
1	641	618	0.94569431960693	1	1	1	1
1	642	619	0.89061908114048	1	1	1	1
1	643	620	0.8818868980963	1	1	1	1
1	644	621	0.83752211258115	1	1	1	1
1	645	622	0.80050275683789	1	1	1	1
1	646	623	0.97326160403347	1	1	1	1
1	647	624	0.76177055339921	1	1	1	1
1	652	629	0.72387532670549	1	1	1	1
1	656	632	0.79612718849777	1	1	1	1
1	657	633	0.72437105231582	1	1	1	1
1	658	634	0.87395857387307	1	1	1	1
1	659	635	0.92352217640552	1	1	1	1
1	660	636	0.90366197493965	1	1	1	1
1	661	637	0.91894403366669	1	1	1	1
1	662	638	0.93493333333333	1	1	1	1
1	663	639	0.99316239316239	1	1	1	1
1	664	640	0.88277921420738	1	1	1	1
1	665	641	0.93581539001346	1	1	1	1
1	667	643	0.86981687621503	1	1	1	1
1	668	644	0.82217636206184	1	1	1	1
1	669	645	0.65655539608178	1	1	1	1
1	670	646	0.73507190572471	1	1	1	1
1	671	647	0.93311666096476	1	1	1	1
1	672	648	0.9758865248227	1	1	1	1
1	673	649	0.93988888888889	1	1	1	1
1	674	650	0.94645566579877	1	1	1	1
1	675	651	0.93127054233797	1	1	1	1
1	676	652	0.99479166666667	1	1	1	1
1	677	653	0.75377424400841	1	1	1	1
1	680	655	0.66227900226732	1	1	1	1
1	682	657	0.94973970092443	1	1	1	1
1	683	658	0.64118679286272	1	1	1	1
1	684	659	0.89943863623014	1	1	1	1
1	688	663	0.82784859837793	1	1	1	1
1	689	664	0.80203850258739	1	1	1	1
1	690	665	0.9629062360878	1	1	1	1
1	691	666	0.81774144024992	1	1	1	1
1	693	668	0.87012683420312	1	1	1	1
1	694	669	0.83340529772244	1	1	1	1
1	696	671	0.90047712456249	1	1	1	1
1	697	672	0.97555555555556	1	1	1	1
1	699	674	0.77512668511576	1	1	1	1
1	701	676	0.88710563861426	1	1	1	1
1	702	677	0.95296211483938	1	1	1	1
1	703	678	0.95949955637221	1	1	1	1
1	705	679	0.83106248635049	1	1	1	1
1	706	680	0.8822855703147	1	1	1	1
1	707	681	0.81302690393252	1	1	1	1
1	708	682	0.75862069624028	1	1	1	1
1	709	683	0.95305895401756	1	1	1	1
1	710	684	0.92613320733032	1	1	1	1
1	711	685	0.715102057999	1	1	1	1
1	712	686	0.96900726392252	1	1	1	1
1	713	687	0.92469552702999	1	1	1	1
1	714	688	0.81768388069853	1	1	1	1
1	715	689	0.91322936847639	1	1	1	1
1	716	690	0.87817100047148	1	1	1	1
1	717	691	0.90997033076494	1	1	1	1
1	723	697	0.65354508367764	1	1	1	1
1	724	698	0.93740523138205	1	1	1	1
1	725	699	0.8143382517196	1	1	1	1
1	726	700	0.76786581392541	1	1	1	1
1	730	701	0.89990927236436	1	1	1	1
1	731	702	0.77652122419798	1	1	1	1
1	737	703	0.71712561981282	1	1	1	1
1	738	704	0.76224814127025	1	1	1	1
1	739	705	0.84596595297956	1	1	1	1
1	740	706	0.89812324540982	1	1	1	1
1	741	707	0.75848048722398	1	1	1	1
1	742	708	0.88628490125778	1	1	1	1
1	743	709	0.96318005875578	1	1	1	1
1	744	710	0.62267746704221	1	1	1	1
1	745	711	0.85242721122311	1	1	1	1
1	746	712	0.80252381628537	1	1	1	1
1	747	713	0.92108426828817	1	1	1	1
1	748	714	0.84777138908895	1	1	1	1
1	750	716	0.97020318391286	1	1	1	1
1	751	717	0.8915993529952	1	1	1	1
1	752	718	0.78527626909805	1	1	1	1
1	753	719	0.92648290251657	1	1	1	1
1	755	721	0.78109584970184	1	1	1	1
1	756	722	0.71036540268168	1	1	1	1
1	757	723	0.90873392737223	1	1	1	1
1	758	724	0.88931775542527	1	1	1	1
1	759	725	0.95004894252715	1	1	1	1
1	760	726	0.8164440187377	1	1	1	1
1	762	728	0.86962389201659	1	1	1	1
1	763	729	0.92222399339766	1	1	1	1
1	764	730	0.97090011109934	1	1	1	1
1	765	731	0.83051232954886	1	1	1	1
1	766	732	0.93434286607282	1	1	1	1
1	767	733	0.87355994874541	1	1	1	1
1	768	734	0.8732253087707	1	1	1	1
1	769	735	0.77889910623427	1	1	1	1
1	771	737	0.69496728234003	1	1	1	1
1	772	738	0.78521235495129	1	1	1	1
1	775	741	0.7632318518837	1	1	1	1
1	776	742	0.84840577829952	1	1	1	1
1	777	743	0.96737734180805	1	1	1	1
1	778	744	0.96332929617092	1	1	1	1
1	779	745	0.88702078994501	1	1	1	1
1	780	746	0.9686668052644	1	1	1	1
1	781	747	0.82020352880063	1	1	1	1
1	782	748	0.95252417866989	1	1	1	1
1	783	749	0.91471293448795	1	1	1	1
1	784	750	0.70000119949254	1	1	1	1
1	785	751	0.55168007723567	1	1	1	1
1	787	752	0.7674759101249	1	1	1	1
1	788	753	0.90134078241013	1	1	1	1
1	789	754	0.96660571950976	1	1	1	1
1	790	755	0.7648342452546	1	1	1	1
1	792	757	0.75544012657344	1	1	1	1
1	793	758	0.47628531814866	1	1	1	1
1	794	759	0.91000842849524	1	1	1	1
1	795	760	0.87212527580484	1	1	1	1
1	796	761	0.86529155441806	1	1	1	1
1	798	762	0.85088817159708	1	1	1	1
1	799	763	0.759094658414	1	1	1	1
1	800	764	0.87569541125944	1	1	1	1
1	802	766	0.82700197708527	1	1	1	1
1	803	767	0.83886361636773	1	1	1	1
1	804	768	0.88659911788639	1	1	1	1
1	805	769	0.92127849824181	1	1	1	1
1	806	770	0.78977741399836	1	1	1	1
1	807	771	0.5607116069171	1	1	1	1
1	808	772	0.91023780937585	1	1	1	1
1	809	773	0.93302530783534	1	1	1	1
1	810	774	0.65405095400541	1	1	1	1
1	811	775	0.92075848782087	1	1	1	1
1	812	776	0.94258531386073	1	1	1	1
1	813	777	0.60700745599347	1	1	1	1
1	814	778	0.83172587504937	1	1	1	1
1	815	779	0.74965822690894	1	1	1	1
1	816	780	0.9109506792203	1	1	1	1
1	817	781	0.85251739016382	1	1	1	1
1	818	782	0.7625743411191	1	1	1	1
1	819	783	0.93899309712525	1	1	1	1
1	820	784	0.84800833774945	1	1	1	1
1	821	785	0.9133231055856	1	1	1	1
1	822	786	0.80740479020145	1	1	1	1
1	823	787	0.82876414296364	1	1	1	1
1	824	788	0.67510585292843	1	1	1	1
1	825	789	0.92811530666121	1	1	1	1
1	826	790	0.72765383715628	1	1	1	1
1	827	791	0.86757752835359	1	1	1	1
1	828	792	0.85028261846115	1	1	1	1
1	829	793	0.92117586186924	1	1	1	1
1	830	794	0.95002907308275	1	1	1	1
1	831	795	0.91392510027462	1	1	1	1
1	833	797	0.85922046283119	1	1	1	1
1	834	798	0.92303078532629	1	1	1	1
1	838	802	0.95143668950679	1	1	1	1
1	839	803	0.89024276331032	1	1	1	1
1	840	804	0.91743888721628	1	1	1	1
1	841	805	0.87376174582305	1	1	1	1
1	843	807	0.88907534762331	1	1	1	1
1	844	808	0.87415753952131	1	1	1	1
1	845	809	0.85022291922168	1	1	1	1
1	846	810	0.80062921510363	1	1	1	1
1	847	811	0.87306098044442	1	1	1	1
1	848	812	0.99865168539326	1	1	1	1
1	849	813	0.95973597359736	1	1	1	1
1	850	814	0.85291025410927	1	1	1	1
1	851	815	0.93771338343358	1	1	1	1
1	852	816	0.90702212784227	1	1	1	1
1	853	817	0.92991210277214	1	1	1	1
1	854	818	0.87403212609556	1	1	1	1
